Begrotingsjaar,VUO,HoofdstukRomeins,Hoofdstuknaam,Artikelnummer,Artikelnaam,StandOWB,StandO1,StandSBS,StandO2,Realisatie
2013,V,VI,Veiligheid en Justitie,13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,14,Jeugd,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,21,Contraterrorisme- en nationaal veiligheidsbeleid,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,21,Contraterrorisme- en nationaal veiligheidsbeleid,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,23,Veiligheidsregio's en politie,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,25,Veiligheid en bestuur,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,25,Veiligheid en bestuur,0,0,0,0,0
2013,U,VI,Veiligheid en Justitie,29,Inspectie openbare orde en veiligheid,0,0,0,0,0
2013,V,VI,Veiligheid en Justitie,29,Inspectie openbare orde en veiligheid,0,0,0,0,0
2013,O,VI,Veiligheid en Justitie,31,Nationale Politie,500,500,0,500,269
2013,U,VI,Veiligheid en Justitie,31,Nationale Politie,5220150,5256456,0,5259193,5250519
2013,V,VI,Veiligheid en Justitie,31,Nationale Politie,5535250,5256456,0,429524,229265
2013,O,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,309755,262755,0,225103,222147
2013,U,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,1522621,1493457,0,1532601,1544180
2013,V,VI,Veiligheid en Justitie,32,Rechtspleging en rechtsbijstand,1522621,1540457,0,1532601,1544910
2013,O,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,1046498,981498,0,1063750,1086824
2013,U,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,768902,760776,0,758819,775116
2013,V,VI,Veiligheid en Justitie,33,Veiligheid en criminaliteitsbestrijding,768902,760776,0,758819,786426
2013,O,VI,Veiligheid en Justitie,34,Sanctietoepassing,1663,1663,0,4990,98054
2013,U,VI,Veiligheid en Justitie,34,Sanctietoepassing,2242335,2337586,0,2451552,2536821
2013,V,VI,Veiligheid en Justitie,34,Sanctietoepassing,2242335,2337586,0,2451552,2561345
2013,O,VI,Veiligheid en Justitie,35,Jeugd,2800,1487,0,9037,13082
2013,U,VI,Veiligheid en Justitie,35,Jeugd,804892,816591,0,842069,840364
2013,V,VI,Veiligheid en Justitie,35,Jeugd,804892,816591,0,842069,821589
2013,O,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,0,0,0,0,212
2013,U,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,205242,202301,0,202800,210768
2013,V,VI,Veiligheid en Justitie,36,Contraterrorisme en Nationaal Veiligheidsbeleid,205242,202301,0,202800,284113
2013,O,VI,Veiligheid en Justitie,37,Vreemdelingen,0,0,0,0,27466
2013,U,VI,Veiligheid en Justitie,37,Vreemdelingen,0,751425,0,767400,751429
2013,V,VI,Veiligheid en Justitie,37,Vreemdelingen,0,751425,0,247400,173932
2013,O,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,868,921,0,7216,17223
2013,U,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,357813,463483,0,482474,470745
2013,V,VI,Veiligheid en Justitie,91,Apparaatsuitgaven kerndepartement,357813,463483,0,482474,522949
2013,U,VI,Veiligheid en Justitie,92,Nominaal en onvoorzien,71917,23625,0,2248,0
2013,V,VI,Veiligheid en Justitie,92,Nominaal en onvoorzien,71917,34670,0,2248,0
2013,O,VI,Veiligheid en Justitie,93,Geheim,0,0,0,0,17
2013,U,VI,Veiligheid en Justitie,93,Geheim,3057,3057,0,3057,3317
2013,V,VI,Veiligheid en Justitie,93,Geheim,3057,3057,0,3057,3317
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,49465,24465,0,24686,24816
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,25102,33452,0,33089,30373
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,61,Openbaar bestuur en democratie,25102,33452,0,33089,45581
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,8214,8214,0,8214,7440
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,199621,203421,0,195016,195142
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,62,Algemene Inlichtingen- en Veiligheidsdienst,199621,203421,0,195016,197486
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,578445,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,2832443,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,63,Woningmarkt,2902887,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,91,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,32639,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,64,Woonomgeving en bouw,32189,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,27566,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,172387,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,65,Integratie en maatschappelijke samenhang,166387,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,500,500,0,16472,17480
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,125848,101394,0,125618,125526
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,66,Dienstverlenende en innovatieve overheid,125848,101394,0,125618,102722
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,820,820,0,820,1769
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,43177,44177,0,42039,40146
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,67,Arbeidszaken overheid,43177,44177,0,42039,32136
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,250,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,29380,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,68,Kwaliteit Rijksdienst,29380,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,357,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,59207,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,69,Uitvoering Rijkshuisvesting,59207,0,0,0,0
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,70,Vreemdelingen,733200,0,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,70,Vreemdelingen,733200,0,0,0,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,71,Centraal Apparaat,27965,43311,0,70989,91404
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,71,Centraal Apparaat,311023,263588,0,282802,272083
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,71,Centraal Apparaat,312137,264702,0,283916,270261
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,72,Algemeen,4420,3478,0,3420,2870
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,72,Algemeen,2266,1324,0,1266,354
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,73,Nominaal en onvoorzien,11823,7435,0,0,0
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,73,Nominaal en onvoorzien,11823,7309,0,-126,0
2013,O,VII,Binnenlandse Zaken en Koninkrijksrelaties,74,VUT-fonds,19000,18800,0,18800,18816
2013,U,VII,Binnenlandse Zaken en Koninkrijksrelaties,74,VUT-fonds,210000,180000,0,140000,140000
2013,V,VII,Binnenlandse Zaken en Koninkrijksrelaties,74,VUT-fonds,210000,180000,0,140000,140000
